item_id,user_id,rating,timestamp,model_attr,category,brand,year,user_attr,split
7,131,4.0,2000-06-15,Female,Home Audio,Philips,2001,Male,0
19,231,5.0,2000-12-31,Female,Camera & Photo,Canon,2000,Male,0
14,233,5.0,2001-01-02,Female&Male,Camera & Photo,Kodak,2001,Female,0
14,257,5.0,2001-02-04,Female&Male,Camera & Photo,Kodak,2001,Female,0
14,269,5.0,2001-03-02,Female&Male,Camera & Photo,Kodak,2001,Male,0
15,269,5.0,2001-03-10,Female&Male,Camera & Photo,Kodak,2006,Male,0
13,309,5.0,2001-04-14,Female,Camera & Photo,Nikon,2000,Male,0
13,340,2.0,2001-05-13,Female,Camera & Photo,Nikon,2000,Male,0
1,369,4.0,2001-06-11,Female,Computers & Accessories,HP,2000,Female,0
14,385,4.0,2001-06-29,Female&Male,Camera & Photo,Kodak,2001,Male,0
13,404,4.0,2001-07-19,Female,Camera & Photo,Nikon,2000,Male,0
14,432,5.0,2001-08-10,Female&Male,Camera & Photo,Kodak,2001,Female,0
46,516,2.0,2001-11-18,Female&Male,Camera & Photo,Kodak,2001,Male,0
39,545,5.0,2001-12-03,Female,Camera & Photo,Sony,2001,Male,0
13,551,4.0,2001-12-06,Female,Camera & Photo,Nikon,2000,Male,0
41,603,5.0,2001-12-27,Female,Camera & Photo,Sony,2011,Male,0
46,627,4.0,2002-01-01,Female&Male,Camera & Photo,Kodak,2001,Female,0
30,671,5.0,2002-01-24,Female,Camera & Photo,Sony,2017,Male,0
49,707,5.0,2002-02-14,Female,Camera & Photo,Sony,2001,Male,0
7,760,5.0,2002-04-12,Female,Home Audio,Philips,2001,Male,0
17,767,5.0,2002-04-18,Female,Camera & Photo,Fujifilm,2003,Male,0
56,782,4.0,2002-05-05,Male,Camera & Photo,Sony,2002,Female,0
60,829,4.0,2002-06-16,Female,Camera & Photo,Sony,2014,Male,0
7,840,5.0,2002-06-26,Female,Home Audio,Philips,2001,Female,0
40,841,5.0,2002-06-28,Female,Camera & Photo,Olympus,2002,Female,0
14,844,5.0,2002-06-30,Female&Male,Camera & Photo,Kodak,2001,Female,0
48,858,5.0,2002-07-09,Female,Camera & Photo,Sony,2001,Male,0
14,868,4.0,2002-07-18,Female&Male,Camera & Photo,Kodak,2001,Female,0
29,945,3.0,2002-09-25,Female&Male,Camera & Photo,Kodak,2001,Male,0
37,952,5.0,2002-10-05,Female,Camera & Photo,Sony,2001,Female,0
48,985,5.0,2002-11-05,Female,Camera & Photo,Sony,2001,Female,0
40,1011,5.0,2002-11-25,Female,Camera & Photo,Olympus,2002,Male,0
52,991,2.0,2002-12-07,Female,Camera & Photo,Kodak,2002,Male,0
58,1078,2.0,2002-12-23,Female,Camera & Photo,JVC,2003,Male,0
63,1079,4.0,2002-12-24,Female,Camera & Photo,Olympus,2002,Male,0
73,725,5.0,2003-01-06,Female,Camera & Photo,Canon,2002,Female,2
59,1115,5.0,2003-01-10,Female,Camera & Photo,Canon,2005,Female,0
73,1147,5.0,2003-01-25,Female,Camera & Photo,Canon,2002,Female,0
81,1156,5.0,2003-01-28,Female&Male,Computers & Accessories,Linksys,2003,Male,0
81,1168,5.0,2003-02-01,Female&Male,Computers & Accessories,Linksys,2003,Female,0
81,1188,5.0,2003-02-08,Female&Male,Computers & Accessories,Linksys,2003,Female,0
80,1188,4.0,2003-02-08,Female,Computers & Accessories,Linksys,2015,Female,0
81,1197,4.0,2003-02-13,Female&Male,Computers & Accessories,Linksys,2003,Male,0
73,1222,5.0,2003-02-25,Female,Camera & Photo,Canon,2002,Male,0
81,1225,5.0,2003-02-27,Female&Male,Computers & Accessories,Linksys,2003,Male,0
83,1225,2.0,2003-02-27,Female,Computers & Accessories,Linksys,2003,Male,2
73,1236,5.0,2003-03-04,Female,Camera & Photo,Canon,2002,Female,0
81,1289,5.0,2003-03-28,Female&Male,Computers & Accessories,Linksys,2003,Male,0
85,1293,1.0,2003-03-31,Male,Television & Video,Sony,2003,Male,0
83,1156,5.0,2003-04-03,Female,Computers & Accessories,Linksys,2003,Male,0
83,1297,1.0,2003-04-04,Female,Computers & Accessories,Linksys,2003,Male,0
81,1313,5.0,2003-04-13,Female&Male,Computers & Accessories,Linksys,2003,Male,0
73,1329,5.0,2003-04-20,Female,Camera & Photo,Canon,2002,Male,0
94,1377,4.0,2003-05-15,Female,Camera & Photo,Nikon,2003,Male,0
17,1383,5.0,2003-05-19,Female,Camera & Photo,Fujifilm,2003,Male,0
91,1386,5.0,2003-05-20,Male,Camera & Photo,Sony,2003,Female,0
95,1401,5.0,2003-06-01,Female,Camera & Photo,Olympus,2003,Female,0
83,1443,5.0,2003-06-29,Female,Computers & Accessories,Linksys,2003,Male,0
89,28,5.0,2003-07-07,Male,Camera & Photo,Sony,2003,Female,0
96,1463,5.0,2003-07-08,Female,Computers & Accessories,Toshiba,2003,Female,0
81,1464,4.0,2003-07-08,Female&Male,Computers & Accessories,Linksys,2003,Male,0
83,1489,1.0,2003-07-20,Female,Computers & Accessories,Linksys,2003,Male,0
37,1508,4.0,2003-07-29,Female,Camera & Photo,Sony,2001,Male,0
95,1559,4.0,2003-08-19,Female,Camera & Photo,Olympus,2003,Male,0
97,1610,4.0,2003-09-14,Female,Camera & Photo,Olympus,2003,Male,0
92,1651,5.0,2003-10-04,Female,Camera & Photo,Canon,2003,Male,0
92,1670,5.0,2003-10-13,Female,Camera & Photo,Canon,2003,Female,0
7,1678,1.0,2003-10-19,Female,Home Audio,Philips,2001,Female,0
81,1680,3.0,2003-10-20,Female&Male,Computers & Accessories,Linksys,2003,Male,0
73,1688,5.0,2003-10-23,Female,Camera & Photo,Canon,2002,Female,0
103,1689,4.0,2003-10-23,Female,Camera & Photo,Olympus,2003,Male,0
97,1717,5.0,2003-11-06,Female,Camera & Photo,Olympus,2003,Female,0
97,1723,5.0,2003-11-10,Female,Camera & Photo,Olympus,2003,Male,0
119,1732,5.0,2003-11-14,Female,Computers & Accessories,Toshiba,2004,Male,0
73,1755,5.0,2003-11-26,Female,Camera & Photo,Canon,2002,Male,0
121,1764,2.0,2003-12-01,Female,Computers & Accessories,Linksys,2003,Male,0
81,1732,5.0,2003-12-05,Female&Male,Computers & Accessories,Linksys,2003,Male,0
103,1156,4.0,2003-12-25,Female,Camera & Photo,Olympus,2003,Male,0
103,1858,5.0,2003-12-26,Female,Camera & Photo,Olympus,2003,Male,0
83,1863,1.0,2003-12-27,Female,Computers & Accessories,Linksys,2003,Male,0
99,1156,4.0,2003-12-29,Female,Camera & Photo,Olympus,2003,Male,0
26,1904,5.0,2004-01-05,Female,Camera & Photo,Sony,2001,Male,0
133,1940,5.0,2004-01-19,Male,Computers & Accessories,Kensington,2004,Male,0
89,2024,4.0,2004-02-17,Male,Camera & Photo,Sony,2003,Male,0
132,2025,4.0,2004-02-18,Female,Camera & Photo,Vivitar,2004,Female,0
94,2098,1.0,2004-03-19,Female,Camera & Photo,Nikon,2003,Male,0
94,2132,5.0,2004-04-01,Female,Camera & Photo,Nikon,2003,Male,0
59,2143,1.0,2004-04-03,Female,Camera & Photo,Canon,2005,Male,0
80,1732,5.0,2004-04-05,Female,Computers & Accessories,Linksys,2015,Male,0
11,2162,4.0,2004-04-12,Male,Camera & Photo,Panasonic,2001,Male,0
121,2180,1.0,2004-04-22,Female,Computers & Accessories,Linksys,2003,Male,0
143,2206,5.0,2004-05-01,Female,Camera & Photo,Canon,2004,Male,0
140,2218,5.0,2004-05-05,Male,Camera & Photo,Sony,2004,Female,0
143,2221,4.0,2004-05-06,Female,Camera & Photo,Canon,2004,Female,0
110,2293,5.0,2004-06-01,Female,Camera & Photo,Kodak,2003,Female,0
137,2300,1.0,2004-06-03,Female&Male,Camera & Photo,Canon,2004,Male,0
155,2302,4.0,2004-06-04,Female,Camera & Photo,Olympus,2004,Male,0
146,2313,4.0,2004-06-08,Female,Camera & Photo,Canon,2004,Male,0
145,2325,2.0,2004-06-12,Female,Camera & Photo,Canon,2004,Male,0
126,2327,5.0,2004-06-13,Female,Computers & Accessories,Sony,2016,Male,0
